symbol,entry_time,exit_time,realized_pnl
UMA-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-01 13:50:38.730200,12.650400000000012
FIL-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-02 23:26:37.515500,-155.06699999999992
BLUR-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-08 12:22:31.848500,-397.42903829029376
ATH-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-03 07:00:36.048300,105.30100000000012
DOT-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-03 09:10:45.617000,251.79800000000006
EGLD-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-08 12:22:31.848500,-25.761999999999926
LUNC-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-06 10:26:55.323200,-11.396500000000094
ID-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-08 12:22:31.848500,-134.0120000000003
MEW-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-03 19:42:45.198100,275.3492598684212
XRP-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-06 05:22:57.969500,-184.96799999999928
GAS-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-04 05:22:50.236400,18.591000000000108
BCH-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-06 02:26:49.700400,-302.8620000000001
ARB-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-05 10:52:48.920000,-0.07249999999999979
ZIL-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-05 07:54:46.417700,-32.88099999999982
UNI-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-05 07:04:54.899700,247.12799999999993
IMX-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-06 09:46:57.621200,-74.07530000000003
OP-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-05 05:28:47.258200,0.30389999999999984
MASK-USDT-SWAP,2025-03-01 12:20:38.977600,2025-03-08 12:22:31.848500,-35.08099999999988
