symbol,entry_time,exit_time,side,theo_pnl,dollar_pnl
WOO-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 03:20:54.817900,1,-0.002297140829000975,-0.002297140829000975
CELO-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 03:32:49.488100,1,-0.003069206390564294,-0.003069206390564294
CFX-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 04:14:53.948500,-1,0.005483318798348263,0.005483318798348263
ETC-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 04:52:50.455300,1,-0.0021345578924970784,-0.0021345578924970784
UMA-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 05:42:49.531700,1,-0.00344141005248276,-0.00344141005248276
SHIB-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 06:30:50.654700,-1,0.005259575898039347,0.005259575898039347
GRT-USDT-SWAP,2025-02-28 03:32:49.488100,2025-02-28 12:10:56.743400,1,0.002689596163649839,0.002689596163649839
ADA-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 13:30:00.000000,1,-0.0032073433594618644,-0.0032073433594618644
NEAR-USDT-SWAP,2025-02-28 12:10:56.743400,2025-02-28 14:04:51.563100,1,0.002465252370680765,0.002465252370680765
OP-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 14:18:51.077400,-1,0.003253208404200736,0.003253208404200736
DOT-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 14:42:51.937900,-1,0.0030835897408996935,0.0030835897408996935
ZETA-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 15:00:00.000000,-1,0.0020295263747999934,0.0020295263747999934
PYTH-USDT-SWAP,2025-02-28 15:00:00.000000,2025-02-28 15:09:00.708700,-1,-0.0006149496751652467,-0.0006149496751652467
BLUR-USDT-SWAP,2025-02-28 14:04:51.563100,2025-02-28 15:58:57.819500,1,0.001977821894314828,0.001977821894314828
ATOM-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 16:22:58.503800,1,0.0005148035435562359,0.0005148035435562359
YFI-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 20:38:58.001600,-1,0.0015266952654119648,0.0015266952654119648
BNB-USDT-SWAP,2025-02-28 04:14:53.948500,2025-02-28 21:23:00.087000,-1,-0.0014975557777305512,-0.0014975557777305512
AXS-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 21:39:01.451300,1,0.0016498897178655186,0.0016498897178655186
GMX-USDT-SWAP,2025-02-28 00:16:52.837000,2025-02-28 23:30:00.000000,1,0.0014417405236338832,0.0014417405236338832
MKR-USDT-SWAP,2025-02-28 00:16:52.837000,2025-03-01 00:08:55.187800,-1,0.006575481855520433,0.006575481855520433
MINA-USDT-SWAP,2025-02-28 15:09:00.708700,2025-03-01 00:51:01.501400,-1,0.0028376851768089073,0.0028376851768089073
ARB-USDT-SWAP,2025-02-28 00:16:52.837000,2025-03-01 01:40:55.496600,1,-0.0004644745739862191,-0.0004644745739862191
XRP-USDT-SWAP,2025-02-28 03:20:54.817900,2025-03-01 02:22:57.145600,1,0.003915419112151333,0.003915419112151333
LRC-USDT-SWAP,2025-02-28 21:23:00.087000,2025-03-01 06:04:58.287500,-1,0.0012980810599520637,0.0012980810599520637
ADA-USDT-SWAP,2025-02-28 21:39:01.451300,2025-03-01 06:10:54.626800,1,0.00187174214723166,0.00187174214723166
ZIL-USDT-SWAP,2025-02-28 00:16:52.837000,2025-03-01 07:00:00.000000,-1,0.0010756739218963432,0.0010756739218963432
STX-USDT-SWAP,2025-02-28 00:16:52.837000,2025-03-01 08:34:58.325800,-1,0.00016504304239612494,0.00016504304239612494
ID-USDT-SWAP,2025-02-28 16:22:58.503800,2025-03-01 09:00:00.000000,1,0.00028069669622132754,0.00028069669622132754
DOGE-USDT-SWAP,2025-02-28 00:16:52.837000,2025-03-01 09:14:53.222300,1,-1.4631184068018832e-05,-1.4631184068018832e-05
APT-USDT-SWAP,2025-02-28 00:16:52.837000,2025-03-01 09:32:53.867100,-1,-0.004184294872681162,-0.004184294872681162
LINK-USDT-SWAP,2025-02-28 00:16:52.837000,2025-03-01 12:20:38.977600,1,-0.0023601105180243165,-0.0023601105180243165
AAVE-USDT-SWAP,2025-02-28 00:16:52.837000,2025-03-01 12:24:33.472600,1,-0.005338480879551549,-0.005338480879551549
ORDI-USDT-SWAP,2025-02-28 00:16:52.837000,2025-03-01 12:24:33.472600,-1,0.0045922127093545595,0.0045922127093545595
