,symbol,timestamp,action,old_position,new_position
98,LPTUSDT,2025-03-08 10:30:00.000000,close,1,0
99,AAVEUSDT,2025-03-08 10:30:00.000000,open,0,1
100,LPTUSDT,2025-03-08 10:36:21.133500,open,0,1
101,AAVEUSDT,2025-03-08 10:36:21.133500,close,1,0
102,AAVEUSDT,2025-03-08 10:46:19.824100,open,0,1
103,LPTUSDT,2025-03-08 10:46:19.824100,close,1,0
104,POLUSDT,2025-03-08 12:32:16.842400,close,1,0
105,OPUSDT,2025-03-08 12:32:16.842400,open,0,1
106,LINKUSDT,2025-03-08 13:00:00.000000,close,-1,0
107,LPTUSDT,2025-03-08 13:00:00.000000,open,0,-1
108,LINKUSDT,2025-03-08 13:06:16.450100,open,0,-1
109,LPTUSDT,2025-03-08 13:06:16.450100,close,-1,0
110,LPTUSDT,2025-03-08 13:16:15.269100,open,0,-1
111,LINKUSDT,2025-03-08 13:16:15.269100,close,-1,0
112,ATOMUSDT,2025-03-08 13:56:15.025200,open,0,1
113,1INCHUSDT,2025-03-08 13:56:15.025200,close,1,0
114,ENSUSDT,2025-03-08 14:00:00.000000,close,1,0
115,MEMEUSDT,2025-03-08 14:00:00.000000,open,0,1
116,ENSUSDT,2025-03-08 14:06:20.691800,open,0,1
117,MEMEUSDT,2025-03-08 14:06:20.691800,close,1,0
118,ENSUSDT,2025-03-08 14:12:18.298500,close,1,0
119,MEMEUSDT,2025-03-08 14:12:18.298500,open,0,1
120,ZILUSDT,2025-03-08 14:12:18.298500,open,0,-1
121,APEUSDT,2025-03-08 14:12:18.298500,close,-1,0
122,EOSUSDT,2025-03-08 14:22:14.643800,open,0,-1
123,YFIUSDT,2025-03-08 14:22:14.643800,close,-1,0
124,CELOUSDT,2025-03-09 00:38:12.846800,open,0,-1
125,COMPUSDT,2025-03-09 00:38:12.846800,close,-1,0
126,BATUSDT,2025-03-09 02:32:20.374000,close,-1,0
127,CHZUSDT,2025-03-09 02:32:20.374000,open,0,-1
128,THETAUSDT,2025-03-09 05:22:22.193200,open,0,1
129,WUSDT,2025-03-09 05:22:22.193200,close,1,0
130,MINAUSDT,2025-03-09 09:12:16.875500,close,1,0
131,FETUSDT,2025-03-09 09:12:16.875500,open,0,1
132,WUSDT,2025-03-09 09:48:19.228300,open,0,-1
133,RENDERUSDT,2025-03-09 09:48:19.228300,close,-1,0
134,SEIUSDT,2025-03-09 12:26:19.024600,close,1,0
135,COMPUSDT,2025-03-09 12:26:19.024600,open,0,1
136,SEIUSDT,2025-03-09 13:02:24.363500,open,0,-1
137,ARBUSDT,2025-03-09 13:02:24.363500,close,-1,0
138,CHZUSDT,2025-03-09 13:20:21.271700,close,-1,0
139,ETHUSDT,2025-03-09 13:20:21.271700,open,0,-1
140,CELOUSDT,2025-03-09 13:44:24.685000,close,-1,0
141,POLUSDT,2025-03-09 13:44:24.685000,open,0,-1
142,EOSUSDT,2025-03-09 13:54:16.453400,close,-1,0
143,1INCHUSDT,2025-03-09 13:54:16.453400,open,0,-1
144,OPUSDT,2025-03-09 17:58:22.400100,close,1,0
145,INJUSDT,2025-03-09 17:58:22.400100,open,0,1
146,EOSUSDT,2025-03-09 19:32:26.152800,open,0,1
147,KSMUSDT,2025-03-09 19:32:26.152800,close,1,0
148,BATUSDT,2025-03-09 22:04:20.084500,open,0,-1
149,BLURUSDT,2025-03-09 22:04:20.084500,close,-1,0
150,ENSUSDT,2025-03-09 23:00:00.000000,open,0,1
151,FETUSDT,2025-03-09 23:00:00.000000,close,1,0
152,FETUSDT,2025-03-09 23:06:22.463000,open,0,1
153,ENSUSDT,2025-03-09 23:06:22.463000,close,1,0
154,FETUSDT,2025-03-09 23:16:16.311100,close,1,0
155,ENSUSDT,2025-03-09 23:16:16.311100,open,0,1
156,AAVEUSDT,2025-03-10 04:14:22.978000,close,1,0
157,MINAUSDT,2025-03-10 04:14:22.978000,open,0,1
158,NEARUSDT,2025-03-10 07:46:28.359700,close,-1,0
159,FETUSDT,2025-03-10 07:46:28.359700,open,0,-1
160,APEUSDT,2025-03-10 08:56:27.421400,open,0,-1
161,SEIUSDT,2025-03-10 08:56:27.421400,close,-1,0
