timestamp,portfolio_pnl
2025-03-01 13:50:38.730200,-95.35309999999997
2025-03-01 18:20:35.718400,-100.42709999999992
2025-03-01 18:52:41.515300,-89.67509999999987
2025-03-01 19:40:41.597300,-70.86109999999977
2025-03-01 20:24:43.279500,-61.93249999999971
2025-03-01 22:12:41.050800,-49.88979999999979
2025-03-02 01:46:41.199800,-18.641799999999925
2025-03-02 03:58:34.873500,-1415.7887370370365
2025-03-02 08:42:42.326400,-1415.0271370370367
2025-03-02 09:48:38.032400,-1462.8602370370368
2025-03-02 13:48:39.080800,-1462.8602370370368
2025-03-02 15:18:34.375800,-1467.9572370370367
2025-03-02 15:38:40.419800,-1428.4692370370367
2025-03-02 16:16:42.029300,-1394.4602370370367
2025-03-02 16:30:00.000000,-1367.0287370370368
2025-03-02 16:30:40.624600,-2168.4557370370367
2025-03-02 16:32:41.481100,-2621.274230337753
2025-03-02 16:42:44.476000,-3875.0378303377533
2025-03-02 17:00:42.471900,-3875.0378303377533
2025-03-02 17:58:44.511700,-5204.463355685943
2025-03-02 18:42:43.910800,-5122.258355685943
2025-03-02 21:02:35.145100,-5103.071115685943
2025-03-02 21:42:39.813500,-5102.497115685944
2025-03-02 22:42:41.747500,-4909.798635685944
2025-03-02 23:00:44.897900,-6409.2590883991215
2025-03-02 23:26:37.515500,-6241.082088399122
2025-03-03 00:30:00.000000,-6068.538088399122
2025-03-03 01:02:39.990400,-6058.392088399122
2025-03-03 01:28:39.947900,-6073.872088399122
2025-03-03 07:00:36.048300,-7503.796512602944
2025-03-03 09:10:45.617000,-7390.3998129341
2025-03-03 09:50:39.544900,-8824.298038338027
2025-03-03 12:42:39.902400,-8723.536038338027
2025-03-03 13:50:39.741100,-10164.60365771519
2025-03-03 19:08:38.796400,-10409.833580376478
2025-03-03 19:12:37.430200,-10797.940892204435
2025-03-03 19:42:45.198100,-12296.453102112242
2025-03-03 21:20:40.576300,-12347.387425943893
2025-03-03 22:02:40.545100,-12347.387425943893
2025-03-03 22:52:40.830200,-12345.055525943893
2025-03-04 01:50:41.146500,-12611.729525943892
2025-03-04 02:10:41.877400,-12748.215867669942
2025-03-04 05:22:50.236400,-12858.651931893224
2025-03-04 08:58:46.769900,-13021.981931893224
2025-03-04 09:24:46.583600,-14468.401630368724
2025-03-04 14:02:53.531000,-14571.746942975358
2025-03-04 14:38:46.633900,-15165.44929248992
2025-03-04 15:42:52.579600,-15905.882166276328
2025-03-04 16:30:00.000000,-15905.882166276328
2025-03-04 20:00:50.486800,-15932.211182016097
2025-03-04 21:56:45.095000,-18064.948438406875
2025-03-04 23:02:46.381600,-18080.218438406875
2025-03-05 01:30:51.388500,-18080.225818406874
2025-03-05 02:22:52.719200,-18331.517158474213
2025-03-05 05:28:47.258200,-18339.681970101912
2025-03-05 07:04:54.899700,-18207.42797010191
2025-03-05 07:54:46.417700,-17687.45797010191
2025-03-05 10:18:48.427200,-17684.609213196258
2025-03-05 10:52:48.920000,-17684.681713196256
2025-03-05 12:58:50.321600,-17609.916913196255
2025-03-05 13:20:56.409800,-17566.77718659545
2025-03-05 17:20:53.615500,-17535.07180491224
2025-03-05 20:32:49.905600,-19226.16807613526
2025-03-05 21:58:54.139000,-19169.728524303857
2025-03-05 22:56:50.875600,-19129.850524303856
2025-03-06 00:44:49.528200,-19129.932171616674
2025-03-06 01:48:51.832300,-20636.720132436032
2025-03-06 02:26:49.700400,-18902.13139846033
2025-03-06 05:22:57.969500,-22435.895359496142
2025-03-06 09:46:57.621200,-20888.809391280578
2025-03-06 10:14:55.427600,-20988.20339128058
2025-03-06 10:26:55.323200,-21075.54245113914
2025-03-08 12:22:31.848500,-23814.370847939823
2025-03-08 14:32:31.546700,-23872.102847939823
2025-03-08 15:42:24.260600,-23872.194706213773
2025-03-08 18:22:31.041600,-23872.285306213773
2025-03-08 19:02:30.982100,-23904.415306213774
2025-03-08 19:12:23.480700,-23943.400306213774
2025-03-08 20:12:22.292200,-23985.59196582916
2025-03-08 20:42:29.399900,-24067.07425124364
2025-03-08 23:22:28.477300,-24109.564715719687
2025-03-08 23:32:23.866300,-24134.374679312503
2025-03-09 02:42:30.725000,-24190.419521417767
2025-03-09 02:52:26.328400,-24282.632837207242
2025-03-09 03:12:22.557000,-24275.992180490823
2025-03-09 03:22:28.140600,-24274.230389446046
2025-03-09 06:42:27.028200,-24288.168389446048
2025-03-09 08:32:28.350400,-24326.42555786846
2025-03-09 09:02:24.107300,-24326.715293237416
2025-03-09 09:32:31.853700,-24318.18599840374
2025-03-09 09:42:25.995300,-24321.5240782213
2025-03-09 11:02:23.728100,-24466.60221322425
2025-03-09 11:42:26.489100,-24476.758967671885
2025-03-09 11:52:31.231300,-24493.334967671886
2025-03-09 12:22:31.422900,951140.9724323001
2025-03-09 13:52:29.909000,952668.207706501
2025-03-09 16:02:27.087100,952686.912706501
2025-03-09 17:02:27.537700,952676.216353655
2025-03-09 17:12:26.726600,953114.2260736933
2025-03-09 18:02:34.005700,952824.0543718323
2025-03-09 18:12:26.921400,952812.5171724109
2025-03-09 18:42:33.575900,951587.6439671147
2025-03-09 18:52:31.582400,950624.8871059793
2025-03-09 22:02:32.769000,950493.3518397922
2025-03-09 23:02:28.863100,950523.6184397922
2025-03-10 01:42:29.283400,949360.5790963098
2025-03-10 01:52:27.896500,949091.0450763289
2025-03-10 04:32:28.193400,949090.9311959285
2025-03-10 06:02:30.498100,948977.5632959285
2025-03-10 07:42:31.017600,946710.3516411643
2025-03-10 08:42:28.787600,946128.118669576
2025-03-10 08:52:35.338200,945293.9534012947
2025-03-10 10:32:36.547000,945293.9534012947
2025-03-10 14:02:33.636600,945280.4183018296
2025-03-10 14:22:38.393500,945165.8220294892
2025-03-10 15:32:31.041400,945165.7236294892
2025-03-10 16:32:35.574400,945040.3466306312
2025-03-10 16:42:31.159000,944945.7197411169
2025-03-10 17:02:39.026100,944816.0653765041
2025-03-10 17:22:38.083800,944842.755376504
2025-03-10 18:02:34.342900,944860.662876504
2025-03-10 18:12:34.307900,944825.9047977638
2025-03-10 18:22:36.003900,944714.8108765039
2025-03-11 00:02:36.030700,944757.2272765039
2025-03-11 00:42:38.448100,944760.379098764
2025-03-11 00:52:34.614600,944116.9181019558
2025-03-11 01:02:39.097300,942474.2146718194
