timestamp,1INCH,AAVE,ADA,APE,APT,ARB,ATH,ATOM,AVAX,AXS,BAND,BAT,BCH,BICO,BLUR,BNB,BSV,BTC,CELO,CFX,CHZ,COMP,CORE,CRO,CTC,DOGE,DOT,EGLD,ENJ,ENS,EOS,ETC,ETH,ETHW,FIL,FLOKI,FLOW,GAS,GMX,GRT,ICP,ID,IMX,JST,KSM,LINK,LRC,LTC,LUNA,LUNC,MANA,MASK,METIS,MEW,MINA,MKR,NEAR,NEO,ONT,OP,ORDI,POL,PYTH,RON,RVN,SHIB,SNX,SOL,STORJ,STRK,STX,T,THETA,TON,UMA,UNI,WOO,XLM,XRP,XTZ,YFI,ZETA,ZIL,ZK,ZRX
2025-02-23 22:00:00.000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
2025-02-23 22:03:45.168795,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
2025-02-23 22:07:52.700828,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
2025-02-23 22:09:46.001760,0,0,0,1,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
2025-02-23 22:11:51.843808,0,0,0,1,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
2025-02-23 22:13:45.791893,0,0,0,1,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
2025-02-23 22:15:49.044858,0,0,0,1,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
2025-02-23 22:17:52.408686,0,0,0,1,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0
2025-02-23 22:19:46.300478,0,0,0,1,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0
2025-02-23 22:21:50.679449,-1,0,0,1,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,0
2025-02-23 22:23:54.250717,-1,0,0,1,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,0
2025-02-23 22:25:47.831553,-1,0,0,1,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,-1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,0
2025-02-24 10:21:55.248530,-1,0,0,1,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,-1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,1,0
2025-02-24 13:03:48.162243,-1,0,0,1,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,1,0
2025-02-24 14:00:00.000000,-1,0,0,1,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0
2025-02-24 14:43:51.217927,-1,0,0,1,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0
2025-02-24 14:57:50.561049,-1,0,0,1,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-1,0,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0
2025-02-24 21:23:40.074194,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0
2025-02-24 21:25:41.429992,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,0,0
2025-02-24 21:27:44.804785,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,-1,0,0,0,1,-1,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,0,-1,-1,-1,0,0
2025-02-24 21:29:48.377968,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,-1,0,0,0,1,-1,0,0,0,0,0,1,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,1,0,0,1,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,0,-1,-1,-1,0,0
2025-02-24 23:00:00.000000,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,-1,0,0,0,1,-1,0,0,0,0,0,1,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,0,-1,-1,-1,0,0
2025-02-24 23:33:27.855358,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,-1,0,0,-1,1,-1,0,0,0,0,0,1,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,0,-1,0,-1,0,0
2025-02-25 00:01:30.947238,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,1,0,-1,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,0,-1,0,-1,0,0
2025-02-25 00:47:32.624949,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,1,0,-1,0,0,1,-1,-1,0,0,0,-1,0,0,0,-1,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,-1,0,-1,0,0
2025-02-25 01:29:31.603893,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,1,0,-1,0,0,1,-1,-1,0,0,0,-1,0,0,0,-1,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0
2025-02-25 01:47:29.453238,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,-1,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,-1,0,0,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0
2025-02-25 07:23:26.938960,-1,1,0,1,0,1,1,0,0,1,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,-1,0,0,-1,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0
2025-02-25 07:33:30.249568,-1,1,0,1,0,1,1,-1,0,1,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,-1,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0
2025-02-25 09:13:30.109753,-1,1,0,1,0,1,1,-1,0,1,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,-1,0,0,-1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0
2025-02-25 10:01:32.186494,-1,1,0,1,0,1,1,-1,0,1,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,-1,0,0,-1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0
2025-02-25 10:07:34.330504,-1,1,0,1,0,1,1,-1,0,1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,-1,0,0,-1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0
2025-02-25 10:43:32.738191,-1,1,0,1,0,0,1,-1,0,1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,-1,0,0,-1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0
