timestamp,ARB,GAS,ATOM,GRT,YFI,CFX,BAT,MEW,ZRX,TON,STRK,GMX,METIS,STX,ICP,ETH,XTZ,CHZ,CRO,SHIB,BNB,ADA,LUNC,KSM,IMX,BLUR,ZETA,MINA,FIL,BTC,ORDI,RVN,LRC,MANA,NEAR,AXS,FLOW,OP,CORE,PYTH,DOT,MASK,BSV,1INCH,AVAX,FLOKI,WOO,SOL,AAVE,STORJ,ETHW,UNI,UMA,ID,ZIL,THETA,ZK,XRP,ATH,POL,EOS,LINK,APT,BICO,ENS,MKR,ETC,BCH,EGLD,RON,CELO
2025-03-02 01:46:41.199800,5.0,1.0,0.0,11340.0,-0.0001,0.0,-20.0,-1000.0,0.0,408.0,14.0,0.0,61.7,1725.0,0.0,0.622,0.0,-27580.0,18970.0,96600000.0,-2.29,10.0,-20140000.0,0.0,-1987.0,30.0,-4770.0,4434.0,-407.0,-0.016,0.6000000000000001,0.0,-11360.0,0.0,-440.0,0.5,2910.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-1.0,-34300.0,-5090.0,10.0,1.0,-209.0,8499.0,0.0,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 03:58:34.873500,5.0,1.0,0.0,11340.0,-0.0001,0.0,-8290.0,-1000.0,0.0,408.0,14.0,0.0,61.7,1725.0,0.0,0.622,0.0,-27580.0,18970.0,96600000.0,-2.29,10.0,-20140000.0,0.0,-1987.0,30.0,0.0,4434.0,-407.0,-0.016,0.6000000000000001,0.0,-11360.0,0.0,-440.0,0.5,2910.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-1.0,-34300.0,-5090.0,10.0,1.0,-209.0,8499.0,0.0,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 08:42:42.326400,5.0,1.0,0.0,11340.0,-0.0001,0.0,-8290.0,-1000.0,0.0,408.0,14.0,0.0,61.7,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-2.29,10.0,-20140000.0,0.0,-1987.0,30.0,0.0,4434.0,-407.0,0.0,0.6000000000000001,0.0,-11360.0,0.0,-440.0,0.5,2910.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-1.0,-34300.0,-5090.0,10.0,1.0,-209.0,8499.0,0.0,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 08:44:37.462500,5.0,1.0,0.0,11340.0,-0.0001,0.0,-8290.0,-1000.0,0.0,408.0,14.0,0.0,61.7,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-2.29,10.0,-20140000.0,0.0,-1987.0,30.0,0.0,4434.0,-407.0,0.0,0.6000000000000001,0.0,-11360.0,0.0,-440.0,0.5,2910.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-1.0,-34300.0,-5090.0,10.0,1.0,-209.0,8499.0,0.0,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 09:48:38.032400,5.0,1.0,0.0,11340.0,-0.0001,0.0,-8290.0,-1000.0,4810.0,408.0,14.0,0.0,61.7,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-2.29,10.0,-20140000.0,0.0,-1987.0,30.0,0.0,4434.0,-407.0,0.0,0.6000000000000001,0.0,-60.0,0.0,-440.0,0.5,0.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-612.0,-34300.0,-5090.0,10.0,1.0,-209.0,8499.0,0.0,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 13:48:39.080800,5.0,1.0,0.0,11340.0,-0.0001,0.0,-10.0,-1000.0,4810.0,408.0,14.0,0.0,61.7,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-2.29,10.0,-20140000.0,0.0,-1987.0,30.0,0.0,4434.0,-407.0,0.0,0.6000000000000001,0.0,-60.0,0.0,-440.0,0.5,0.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-612.0,-34300.0,-5090.0,-2450.0,1.0,-209.0,8499.0,0.0,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 15:18:34.375800,5.0,1.0,0.0,11340.0,-0.0001,0.0,-10.0,-1000.0,4810.0,408.0,14.0,0.0,61.7,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-2.29,10.0,-20140000.0,73.60000000000001,-1987.0,30.0,0.0,4434.0,-407.0,0.0,0.6000000000000001,0.0,-60.0,0.0,-440.0,0.5,0.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-612.0,-34300.0,-5090.0,-2450.0,1.0,-209.0,4.0,0.0,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 15:38:40.419800,5.0,1.0,0.0,11340.0,-0.0001,0.0,-10.0,-1000.0,4810.0,408.0,14.0,0.0,0.0,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-2.29,10.0,-20140000.0,73.60000000000001,-1987.0,30.0,0.0,4434.0,-407.0,0.0,0.6000000000000001,0.0,-60.0,0.0,-440.0,0.5,0.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-612.0,-34300.0,-5090.0,-2450.0,1.0,-209.0,4.0,66.2,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 16:16:42.029300,5.0,1.0,0.0,11340.0,-0.0001,0.0,-10.0,-1000.0,20.0,408.0,14.0,0.0,0.0,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-0.01,-1620.0,-20140000.0,73.60000000000001,-1987.0,30.0,0.0,4434.0,-407.0,0.015700000000000002,0.6000000000000001,0.0,-60.0,0.0,-440.0,0.5,0.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-538.0,-34300.0,-5090.0,-2450.0,1.0,-209.0,4.0,66.2,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 16:18:36.466200,5.0,1.0,0.0,11340.0,-0.0001,0.0,-10.0,-1000.0,20.0,408.0,14.0,0.0,0.0,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-0.01,-1620.0,-20140000.0,73.60000000000001,-1987.0,30.0,0.0,4434.0,-407.0,0.015700000000000002,0.6000000000000001,0.0,-60.0,0.0,-440.0,0.5,0.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,0.0,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-538.0,-34300.0,-5090.0,-2450.0,1.0,-209.0,4.0,66.2,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 16:30:00.000000,5.0,1.0,293.0,11340.0,-0.0001,0.0,-10.0,-1000.0,20.0,408.0,14.0,0.0,0.0,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-0.01,-1620.0,-20140000.0,73.60000000000001,-1987.0,30.0,0.0,4434.0,-407.0,0.015700000000000002,0.6000000000000001,0.0,-60.0,0.0,-440.0,0.5,0.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,-8.01,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-2.0,-34300.0,-5090.0,-2450.0,1.0,-209.0,4.0,0.1,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 16:30:40.624600,5.0,1.0,82.0,11340.0,-0.0001,0.0,-10.0,-1000.0,20.0,408.0,14.0,0.0,0.0,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-0.01,-1620.0,-20140000.0,73.60000000000001,-1987.0,30.0,0.0,4434.0,-407.0,0.015700000000000002,0.6000000000000001,0.0,-60.0,0.0,-440.0,0.5,0.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,-4.11,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-282.0,-34300.0,-5090.0,-2450.0,1.0,-209.0,4.0,52.0,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
2025-03-02 16:32:41.481100,5.0,1.0,293.0,11340.0,-0.0001,0.0,-10.0,-1000.0,20.0,408.0,14.0,0.0,0.0,1725.0,-205.0,0.622,0.0,-27580.0,18970.0,96600000.0,-0.01,-1620.0,-20140000.0,73.60000000000001,-1987.0,30.0,0.0,4434.0,-407.0,0.015700000000000002,0.6000000000000001,0.0,-60.0,0.0,-440.0,0.5,0.0,-3.0,0.0,6610.0,292.0,-603.0,0.0,5675.0,63.7,100000.0,0.0,-8.01,0.010000000000000002,0.0,0.0,183.0,1.3,5250.0,-300.0,0.0,10.0,-2.0,-34300.0,-5090.0,-2450.0,1.0,-209.0,4.0,0.1,-0.005,-72.30000000000001,-4.19,-64.60000000000001,0.0,0.0
