symbol,timestamp,action,price,realized_pnl,mean_acq_price
COMP,2025-04-01 11:03:48.189700,reb sell short,47.37,0.0,51.106822429906536
DOT,2025-04-01 11:13:41.427800,close long,4.192,-22.379999999999853,4.252
WOO,2025-04-01 12:32:51.142800,close long,0.07613,-49.741999999999855,0.07851
ARB,2025-04-01 12:32:51.142800,reb buy short,0.333,55.35869999999996,0.3401
LUNA,2025-04-01 12:32:51.142800,close short,0.1884,23.724899999999884,0.1913
TON,2025-04-01 12:32:51.142800,close short,4.077,24.32000000000002,4.141
ARB,2025-04-01 12:42:49.767300,reb buy long,0.333,0.0,0.3378254948364888
BCH,2025-04-01 12:42:49.767300,reb sell short,310.9,0.0,310.90000000000003
BLUR,2025-04-01 13:12:50.593000,reb buy short,0.1076,14.12399999999996,0.1098
BLUR,2025-04-01 13:22:55.719600,close short,0.1076,17.62199999999995,0.1098
DOT,2025-04-01 13:22:55.719600,reb sell short,4.202,0.0,4.202
ATOM,2025-04-01 13:22:55.719600,reb buy short,4.44,17.099999999999916,4.516
1INCH,2025-04-01 13:32:52.336700,reb sell short,0.1911,0.0,0.19293144056289346
ATOM,2025-04-01 13:32:52.336700,close short,4.4,14.731999999999957,4.516
ETC,2025-04-01 13:52:52.075900,reb buy short,16.78,7.951999999999933,17.06
ETC,2025-04-01 14:02:47.407400,close short,16.98,5.039999999999893,17.06
UNI,2025-04-01 14:02:47.407400,reb sell short,6.191,0.0,6.171019841269842
