timestamp,BSV,MANA,BTC,FLOW,CFX,PYTH,CELO,NEO,ICP,NEAR,BLUR,ZRX,MASK,LTC,FLOKI,RON,COMP,BICO,DOT,POL,MKR,GMX,RVN,EOS,CTC,APT,ADA,1INCH,STX,MEW,WOO,BAND,CORE,ETHW,ETC,SOL,ENJ,ID,AVAX,CRO,YFI,THETA,ZETA,GAS,GRT,ATOM,XRP,STORJ,OP,IMX,MINA,CHZ,EGLD,ARB,BAT,AAVE,ONT,ETH,UNI,ATH,LRC,JST,ZK,LUNA,LUNC,ENS,XLM,ZIL,SHIB,STRK,TON,UMA,METIS,FIL,XTZ,LINK,KSM,BCH,ORDI,AXS,BNB
2025-04-01 13:02:52.692400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01 13:12:50.593000,,,,,,,,,,,reb buy short,,,,,,,,open short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01 13:16:45.914600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01 13:22:55.719600,,,,,,,,,,,close short,,,,,,,,reb sell short,,,,,,,,,open short,,,,,,,,,,,,,,,,,,reb buy short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01 13:32:52.336700,,,,,,,,,,,,,,,,,,,,,,,,,,,,reb sell short,,,,,,,,,,,,,,,,,,close short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01 13:42:54.988700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01 13:48:54.459200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01 13:52:52.075900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reb buy short,,,,,,,,,,,,,,,,,,,,,,,,open short,,,,,,,,,,,,,,,,,,,,,,
2025-04-01 14:02:47.407400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,close short,,,,,,,,,,,,,,,,,,,,,,,,reb sell short,,,,,,,,,,,,,,,,,,,,,,
2025-04-01 14:12:52.606000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
