symbol,timestamp,action,old_size,new_size,price,old_value,new_value
APT-USDT-SWAP,2025-03-03 19:08:38.796400,rebalance,-209.0,-236.0,5.91,-1235.19,-1394.76
NEAR-USDT-SWAP,2025-03-03 19:08:38.796400,rebalance,-399.0,-448.0,3.106,-1239.2939999999999,-1391.4879999999998
BNB-USDT-SWAP,2025-03-03 19:08:38.796400,rebalance,2.19,2.4,580.7,1271.7330000000002,1393.68
BTC-USDT-SWAP,2025-03-03 19:08:38.796400,rebalance,0.014499999999999999,0.016,87261.0,1265.2845,1396.176
BCH-USDT-SWAP,2025-03-03 19:12:37.430200,rebalance,-0.010000000000000002,-1.17,332.1,-3.321000000000001,-388.557
MEW-USDT-SWAP,2025-03-03 19:12:37.430200,rebalance,-608000.0,-439000.0,0.002251,-1368.608,-988.189
RVN-USDT-SWAP,2025-03-03 19:42:45.198100,rebalance,-107330.0,-130.0,0.01283,-1377.0439,-1.6679
STORJ-USDT-SWAP,2025-03-03 19:42:45.198100,open,0.0,4580.0,0.3053,0.0,1398.2740000000001
MEW-USDT-SWAP,2025-03-03 19:42:45.198100,open,0.0,5000.0,0.002261,0.0,11.305
MASK-USDT-SWAP,2025-03-03 19:42:45.198100,rebalance,-4.0,-641.0,2.193,-8.772,-1405.713
MEW-USDT-SWAP,2025-03-03 19:42:45.198100,close,-439000.0,0.0,0.002261,-992.579,0.0
BCH-USDT-SWAP,2025-03-03 19:42:45.198100,rebalance,-1.17,-4.2,329.7,-385.74899999999997,-1384.74
BTC-USDT-SWAP,2025-03-03 19:42:45.198100,rebalance,0.016,0.0001,86920.2,1390.7232,8.69202
BLUR-USDT-SWAP,2025-03-03 19:42:45.198100,rebalance,11230.0,60.0,0.1231,1382.413,7.386
ZRX-USDT-SWAP,2025-03-03 19:42:45.198100,open,0.0,5100.0,0.2756,0.0,1405.5600000000002
ZRX-USDT-SWAP,2025-03-03 19:42:45.198100,close,-10.0,0.0,0.2756,-2.7560000000000002,0.0
STX-USDT-SWAP,2025-03-03 19:42:45.198100,open,0.0,1887.0,0.7461,0.0,1407.8907
STX-USDT-SWAP,2025-03-03 19:42:45.198100,close,-14.0,0.0,0.7461,-10.4454,0.0
AXS-USDT-SWAP,2025-03-03 19:42:45.198100,rebalance,380.70000000000005,2.4000000000000004,3.537,1346.5359,8.488800000000001
