
2025/03/05 16:02:11.547505:'MEWUSDT':-1, 'TONUSDT':1, 'ETCUSDT':-1, 'THETAUSDT':1, 'AAVEUSDT':-1, 'LTCUSDT':1, 'MANAUSDT':-1, 'MEMEUSDT':1
2025/03/06 02:14:23.921048:'MEWUSDT':-1, 'TONUSDT':1, 'ETCUSDT':-1, 'THETAUSDT':1, 'LTCUSDT':1, 'MANAUSDT':-1, 'MEMEUSDT':1
2025/03/06 02:14:23.921048:'MEWUSDT':-1, 'TONUSDT':1, 'ETCUSDT':-1, 'THETAUSDT':1, 'LTCUSDT':1, 'MANAUSDT':-1, 'MEMEUSDT':1, 'LINKUSDT':-1
2025/03/07 07:07:41.053556:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'SEIUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1
2025/03/07 09:21:41.124080:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'SANDUSDT':-1, 'ONTUSDT':1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1, 'MINAUSDT':1
2025/03/07 12:10:34.869175:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, '1INCHUSDT':-1, 'SANDUSDT':-1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1, 'MINAUSDT':1, 'KSMUSDT':1
2025/03/07 13:30:00.000000:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, 'SANDUSDT':-1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'PYTHUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1, 'MINAUSDT':1, 'KSMUSDT':1, 'MANAUSDT':-1
2025/03/07 14:26:36.097518:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, 'SANDUSDT':-1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1, 'MINAUSDT':1, 'KSMUSDT':1, 'MANAUSDT':-1, 'DOTUSDT':-1
2025/03/07 17:46:19.692752:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, 'SANDUSDT':-1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1, 'MINAUSDT':1, 'KSMUSDT':1, 'MANAUSDT':-1, 'DOTUSDT':-1
2025/03/07 17:56:13.017758:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, 'SANDUSDT':-1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1, 'MINAUSDT':1, 'KSMUSDT':1, 'MANAUSDT':-1, 'DOTUSDT':-1
2025/03/07 18:06:10.567838:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, 'SANDUSDT':-1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1, 'MINAUSDT':1, 'KSMUSDT':1, 'MANAUSDT':-1, 'DOTUSDT':-1
2025/03/07 18:16:26.113198:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, 'SANDUSDT':-1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1, 'MINAUSDT':1, 'KSMUSDT':1, 'MANAUSDT':-1, 'DOTUSDT':-1
2025/03/07 18:26:24.710586:'FLOWUSDT':1, 'RENDERUSDT':-1, 'MANTAUSDT':1, 'POLUSDT':1, 'LINKUSDT':-1, 'ZROUSDT':1, 'APEUSDT':-1, 'EGLDUSDT':1, 'SANDUSDT':-1, 'MEWUSDT':-1, 'UNIUSDT':1, 'APTUSDT':-1, 'NEARUSDT':-1, 'GASUSDT':1, 'BCHUSDT':-1, 'ZKUSDT':-1, 'ENSUSDT':1, 'BATUSDT':-1, 'WUSDT':1, 'NEOUSDT':-1, 'ARBUSDT':-1, 'EOSUSDT':1, 'GRTUSDT':1, 'BLURUSDT':-1, 'ICPUSDT':1, 'LPTUSDT':1, 'YFIUSDT':-1, 'FETUSDT':1, 'MINAUSDT':1, 'KSMUSDT':1, 'MANAUSDT':-1, 'DOTUSDT':-1
