,coin,pnl_real,amount_in,exit_spread
2025-01-23 16:54:00.008417+00:00,AXSUSDT,0.031290956749672305,-946.0425,0.0005070993914807476
2025-01-24 07:10:07.475196+00:00,FETUSDT,0.0564786585365854,-948.8290499999999,0.0008474918277573407
2025-01-26 20:20:19.336964+00:00,ETCUSDT,0.032017575451991576,-949.85275,1.8602920658472577e-05
2025-01-27 02:14:49.437560+00:00,1INCHUSDT,-0.047379612257661075,949.7904,-0.0013178167513522299
2025-01-27 14:21:04.323892+00:00,ICPUSDT,-0.12004483847956804,941.6159999999999,0.00040549151364199787
2025-01-27 17:30:00.000000+00:00,AXLUSDT,0.165462094417961,-949.96242,-0.002031019202363371
2025-01-29 04:24:19.368034+00:00,TAOUSDT,-0.01993420622644404,-949.9954499999999,0.0002669314626775332
2025-01-29 04:24:19.368034+00:00,RUNEUSDT,-0.022482435597189543,949.3109999999999,-0.0011964584828906277
2025-01-29 04:58:32.030604+00:00,IMXUSDT,0.10832102412604616,-949.16,-0.002028771670970153
2025-01-29 05:14:38.058815+00:00,ROSEUSDT,-0.13850212516488347,949.2076000000002,-0.0003401360544218468
2025-01-30 00:38:43.739036+00:00,AEVOUSDT,0.022538552787663146,-949.975005,-0.00020230629172579562
2025-01-30 05:42:43.053637+00:00,SEIUSDT,0.02826510721247555,949.9984499999999,-0.0007892659826360671
2025-01-30 09:48:42.727212+00:00,PENDLEUSDT,0.09193623278130314,949.8110999999999,-0.0007506763168704245
2025-01-31 14:02:43.353944+00:00,BCHUSDT,0.015416704452707042,-949.6987649999999,0.00017266982076880044
2025-01-31 14:44:46.627476+00:00,ADAUSDT,-0.02567082188886549,-949.9914500000001,-0.00036062026685890203
2025-01-31 16:24:45.716794+00:00,STRKUSDT,-0.054665140240412136,-949.9699999999999,-0.001494768310911887
2025-02-01 11:13:35.340060+00:00,EGLDUSDT,-0.03851082004555817,-949.6109999999999,-0.0006001268839697094
2025-02-01 11:11:30.694502+00:00,1INCHUSDT,-0.014890800794175929,-949.9596000000001,-0.0021238359745139324
2025-02-01 11:11:30.694502+00:00,TONUSDT,-0.004046409843511234,949.878985,0.00032140006013281486
2025-02-01 11:11:30.694502+00:00,SEIUSDT,-0.011374407582938284,-179.139,-0.001721170395869276
2025-02-01 11:13:35.340060+00:00,MANTAUSDT,0.0679834634818558,-949.97056,-0.0007398273736130001
2025-02-01 11:13:35.340060+00:00,MKRUSDT,0.011976579134137744,949.1445,4.38346556788094e-05
2025-02-01 11:25:27.235663+00:00,CFXUSDT,-0.0003765769158350363,-949.876085,-0.0012563603241408927
2025-02-01 11:25:27.235663+00:00,CKBUSDT,0.0555974842767295,949.9981435,0.0007154781779155073
2025-02-01 11:33:42.186166+00:00,DOTUSDT,0.017810128542666948,-949.53975,7.883326763891141e-05
2025-02-01 11:33:42.186166+00:00,OPUSDT,-0.02824858757062143,949.93111,-0.0009562599610412059
2025-02-01 11:33:42.186166+00:00,MASKUSDT,0.0013642564802182067,-949.7796,0.00033040375338644346
2025-02-01 11:33:42.186166+00:00,FETUSDT,0.009286998202516328,949.4694,-0.0025166543301261557
2025-02-01 11:43:21.405106+00:00,NEOUSDT,0.006674307287804271,-949.98765,0.001862954306811604
2025-02-01 11:43:21.405106+00:00,APTUSDT,0.0008781291795572077,949.3109450000002,0.00035782040116383307
