2023/12/10 17:55:06.143:INFO:session_signal:strat pairs2_edo, sym: GMT-USDT-SWAP__SNX-USDT-SWAP, action: 1, quantities:[32379.00477164281, 2225.3455141719373], @(0.2934, 4.269) - nn, entry
2023/12/10 19:55:06.321:INFO:session_signal:strat pairs2_edo, sym: BAND-USDT-SWAP__MASK-USDT-SWAP, action: -1, quantities:[5637.982195845697, 2468.173551571837], @(1.68, 3.783) - xx, exitsignal
2023/12/10 20:35:06.236:INFO:session_signal:strat pairs2_edo, sym: SAND-USDT-SWAP__WAVES-USDT-SWAP, action: 1, quantities:[17282.153902128433, 3874.388254486134], @(0.5497, 2.452) - nn, entry
2023/12/10 21:01:06.258:INFO:session_signal:strat pairs1, sym: GALA-USDT-SWAP__MAGIC-USDT-SWAP, action: -1, quantities:[171029.90464240307, 6566.054494181382], @(0.03446, 0.8976) - nn, entry
2023/12/10 21:01:07.250:INFO:session_signal:strat pairs1, sym: NEAR-USDT-SWAP__THETA-USDT-SWAP, action: -1, quantities:[2280.839982189322, 5120.495668094882], @(2.584, 1.151) - nn, entry
2023/12/10 23:25:36.153:INFO:session_signal:strat pairs2_edo, sym: BAND-USDT-SWAP__ENS-USDT-SWAP, action: -1, quantities:[5594.817432273263, 982.7247336298749], @(1.698, 9.667) - nn, entry
2023/12/10 23:25:36.882:INFO:session_signal:strat pairs2_edo, sym: APE-USDT-SWAP__ICP-USDT-SWAP, action: 1, quantities:[5328.09871003926, 1723.8250771184903], @(1.783, 5.511) - nn, entry
2023/12/10 23:29:36.199:INFO:session_signal:strat pairs1, sym: APT-USDT-SWAP__FTM-USDT-SWAP, action: -1, quantities:[729.0, 15010.0], @(8.4516, 0.4006) - xx, exitsignal
2023/12/10 23:33:36.236:INFO:session_signal:strat pairs1, sym: APE-USDT-SWAP__ICP-USDT-SWAP, action: 1, quantities:[3358.8857292563753, 1076.2477611493666], @(1.778, 5.549) - nn, entry
2023/12/10 23:35:49.706:INFO:session_signal:strat basket1, sym: ETC-USDT-SWAP__GALA-USDT-SWAP, action: 1, quantities:[470.0, 224443.77102794606], @(21.95, 0.03409) - xn, reshuffle signal
2023/12/10 23:57:36.49:INFO:session_signal:strat pairs2_edo, sym: AXS-USDT-SWAP__GALA-USDT-SWAP, action: 1, quantities:[1213.4372205901136, 276484.2840512223], @(7.829, 0.03436) - nn, entry
2023/12/11 00:05:50.82:INFO:session_signal:strat basket1, sym: ETC-USDT-SWAP__BAND-USDT-SWAP, action: 1, quantities:[470.0, 4344.311848266381], @(21.99, 1.708) - xn, reshuffle signal
2023/12/11 00:25:36.116:INFO:session_signal:strat pairs2_edo, sym: ARB-USDT-SWAP__ETC-USDT-SWAP, action: -1, quantities:[8200.258955545964, 433.3941605839416], @(1.1585, 21.92) - nn, entry
2023/12/11 00:27:36.196:INFO:session_signal:strat pairs2_edo, sym: 1INCH-USDT-SWAP__LPT-USDT-SWAP, action: 1, quantities:[23738.130934532735, 1378.8098693759073], @(0.4002, 6.89) - nn, entry
2023/12/11 00:35:50.306:INFO:session_signal:strat basket1, sym: ETC-USDT-SWAP__GALA-USDT-SWAP, action: 1, quantities:[470.0, 224882.80878217836], @(21.93, 0.03436) - xn, reshuffle signal
2023/12/11 01:25:36.268:INFO:session_signal:strat pairs2_edo, sym: CELO-USDT-SWAP__GRT-USDT-SWAP, action: 1, quantities:[15886.287625418061, 55104.408352668215], @(0.598, 0.1724) - nn, entry
2023/12/11 01:31:36.336:INFO:session_signal:strat pairs2_edo, sym: GMT-USDT-SWAP__SUI-USDT-SWAP, action: 1, quantities:[32434.277910549677, 13538.549237565912], @(0.2929, 0.7017) - nn, entry
2023/12/11 01:55:36.97:INFO:session_signal:strat pairs2_edo, sym: FIL-USDT-SWAP__QTUM-USDT-SWAP, action: -1, quantities:[1847.8895156584322, 2794.9396881435714], @(5.141, 3.399) - nn, entry
2023/12/11 02:25:36.627:INFO:session_signal:strat pairs2_edo, sym: SHIB-USDT-SWAP__XRP-USDT-SWAP, action: -1, quantities:[957564761.6167724, 15384.615384615383], @(9.921e-06, 0.6175) - nn, entry
2023/12/11 03:13:36.192:INFO:session_signal:strat pairs1, sym: GMT-USDT-SWAP__SNX-USDT-SWAP, action: -1, quantities:[19337.0, 1421.0], @(0.2767, 4.666) - xx, exitstoploss
2023/12/11 04:25:36.905:INFO:session_signal:strat pairs2_edo, sym: EGLD-USDT-SWAP__NEO-USDT-SWAP, action: -1, quantities:[145.32660241701086, 796.9130106534687], @(65.37, 11.921) - nn, entry
2023/12/11 09:05:51.443:INFO:session_signal:strat pairs1, sym: CRV-USDT-SWAP__OP-USDT-SWAP, action: 1, quantities:[7489.093957224761, 2319.467677039242], @(0.6792, 2.193) - nn, entry
2023/12/11 10:29:36.782:INFO:session_signal:strat pairs1, sym: BNB-USDT-SWAP__OP-USDT-SWAP, action: 1, quantities:[21.849286780395712, 2236.5637540195], @(233.9, 2.285) - nn, entry
2023/12/11 10:57:36.852:INFO:session_signal:strat pairs2_edo, sym: EGLD-USDT-SWAP__NEO-USDT-SWAP, action: 1, quantities:[145.32660241701086, 796.9130106534687], @(63.46, 11.985) - xx, exitsignal
2023/12/11 11:25:36.976:INFO:session_signal:strat pairs2_edo, sym: CRV-USDT-SWAP__OP-USDT-SWAP, action: 1, quantities:[13804.126707352512, 4066.7808219178087], @(0.6882, 2.336) - nn, entry
2023/12/11 12:05:50.885:INFO:session_signal:strat basket1, sym: AR-USDT-SWAP__ETC-USDT-SWAP, action: -1, quantities:[607.6, 361.84634412614247], @(7.998, 20.3) - xn, reshuffle signal
2023/12/11 14:55:37.165:INFO:session_signal:strat pairs2_edo, sym: GMT-USDT-SWAP__SUI-USDT-SWAP, action: -1, quantities:[32434.277910549677, 13538.549237565912], @(0.271, 0.6303) - xx, exitsignal
2023/12/11 15:25:37.268:INFO:session_signal:strat pairs2_edo, sym: BCH-USDT-SWAP__BNB-USDT-SWAP, action: 1, quantities:[40.807560137457045, 38.99835796387521], @(232.8, 243.6) - nn, entry
2023/12/11 15:35:50.995:INFO:session_signal:strat basket1, sym: GRT-USDT-SWAP__OP-USDT-SWAP, action: 1, quantities:[47250.0, 3308.663304125549], @(0.1586, 2.324) - xn, reshuffle signal
2023/12/11 17:05:51.930:INFO:session_signal:strat basket1, sym: WAVES-USDT-SWAP__BNB-USDT-SWAP, action: 1, quantities:[3670.0, 47.04], @(2.257, 246.5) - xx, exitsignal
2023/12/11 17:35:50.806:INFO:session_signal:strat pairs1, sym: NEAR-USDT-SWAP__THETA-USDT-SWAP, action: 1, quantities:[2280.0, 5140.0], @(2.252, 1.045) - xx, exitsignal
2023/12/11 17:37:36.958:INFO:session_signal:strat pairs2_edo, sym: BAND-USDT-SWAP__ENS-USDT-SWAP, action: 1, quantities:[5594.817432273263, 982.7247336298749], @(1.512, 8.79) - xx, exitsignal
2023/12/11 18:03:36.889:INFO:session_signal:strat pairs1, sym: ETH-USDT-SWAP__LTC-USDT-SWAP, action: 1, quantities:[2.3875325659916258, 71.14168127441967], @(2200.52, 73.85) - nn, entry
2023/12/11 18:03:37.697:INFO:session_signal:strat pairs2_edo, sym: ETH-USDT-SWAP__LTC-USDT-SWAP, action: 1, quantities:[4.317161398214967, 128.6391333784699], @(2200.52, 73.85) - nn, entry
2023/12/11 20:35:51.155:INFO:session_signal:strat basket1, sym: SUI-USDT-SWAP__MAGIC-USDT-SWAP, action: 1, quantities:[13144.099958081804, 9490.726917249935], @(0.6136, 0.8498) - nn, entry
2023/12/11 21:35:51.204:INFO:session_signal:strat basket1, sym: AVAX-USDT-SWAP__MKR-USDT-SWAP, action: 1, quantities:[321.0, 6.9], @(38.024, 1380.7) - xx, exitsignal
2023/12/11 22:01:37.412:INFO:session_signal:strat pairs1, sym: ETH-USDT-SWAP__LTC-USDT-SWAP, action: -1, quantities:[2.2, 162.0], @(2217.74, 71.99) - xx, exitsignal
