ts;free;total;asset
2025-03-23T08:53:42.867844+00:00;13093.405155021632;13093.405155021632;-11.028800000001945
2025-03-23T09:03:37.957655+00:00;13069.971774293606;13069.971774293606;-52.0377599999998
2025-03-23T09:13:42.893959+00:00;13100.964994293607;13100.964994293607;-21.963639999998502
2025-03-23T09:23:38.620166+00:00;13097.776144293606;13097.776144293606;-25.152489999997513
2025-03-23T09:33:43.577260+00:00;13084.302694293605;13084.302694293605;-38.684740000000396
2025-03-23T09:43:36.360301+00:00;13083.287644293605;13083.287644293605;-40.24409000000124
2025-03-23T09:53:40.174371+00:00;13042.552734293606;13042.552734293606;-80.1244000000014
2025-03-23T10:03:35.049763+00:00;13061.768674293606;13061.768674293606;-60.97065999999845
2025-03-23T10:13:37.524558+00:00;13066.032234293605;13066.032234293605;-56.68140000000059
2025-03-23T10:23:42.453310+00:00;13078.067044293606;13078.067044293606;-43.80089000000047
2025-03-23T10:33:37.171673+00:00;13079.975414293607;13079.975414293607;-42.69572000000021
2025-03-23T10:43:42.192053+00:00;13085.741993993606;13085.741993993606;-121.4992500000003
2025-03-23T10:53:37.438502+00:00;13076.534943993607;13076.534943993607;-130.6774200000001
2025-03-23T11:03:43.086304+00:00;13081.885723993606;13081.885723993606;-125.66781999999992
2025-03-23T11:13:38.645101+00:00;13053.506684210524;13053.539823610525;-171.1666899999997
2025-03-23T11:23:42.941601+00:00;13089.222884822226;13089.222884822226;-198.63300999999916
2025-03-23T11:33:38.100835+00:00;13092.859134822225;13092.859134822225;-193.7449499999999
2025-03-23T11:43:44.522122+00:00;13093.385534822224;13093.385534822224;-193.18546000000097
2025-03-23T11:53:40.220716+00:00;13120.650384822226;13120.650384822226;-165.6287899999997
2025-03-23T12:03:35.130105+00:00;13107.830084108156;13107.830084108156;-178.6986700000003
2025-03-23T12:13:39.337176+00:00;13099.664944108157;13099.664944108157;-185.5629399999992
2025-03-23T12:23:35.140911+00:00;13130.526764108155;13130.526764108155;-156.29975000000053
2025-03-23T12:33:40.096097+00:00;13136.675549468142;13136.675549468142;-152.3968000000012
2025-03-23T12:43:44.553014+00:00;13160.578139468142;13160.578139468142;-127.32780999999926
2025-03-23T12:53:38.944885+00:00;13172.300549468142;13172.300549468142;-116.18560000000055
2025-03-23T13:03:44.095646+00:00;13183.827284668141;13183.827284668141;85.81076000000154
2025-03-23T13:13:41.523360+00:00;13207.412520668142;13207.412520668142;-36.526350000000114
2025-03-23T13:23:36.122616+00:00;13190.824480668141;13190.824480668141;-53.340789999998954
2025-03-23T13:33:43.172684+00:00;13188.10324066814;13188.10324066814;-55.61282999999866
2025-03-23T13:43:38.891515+00:00;13230.320934408142;13230.359180668142;-13.511790000000822
2025-03-23T13:53:44.210504+00:00;13189.477873768135;13189.477873768135;-82.30901999999818
2025-03-23T14:03:41.538363+00:00;13214.409003768134;13214.409003768134;-58.12575999999933
2025-03-23T14:13:36.508153+00:00;13219.901483768135;13219.901483768135;-52.60498000000172
2025-03-23T14:23:42.584304+00:00;13261.191003768135;13261.191003768135;-11.314950000000014
2025-03-23T14:33:38.341248+00:00;13266.642093768134;13266.642093768134;-6.5656700000009405
2025-03-23T14:43:43.028279+00:00;13266.626283768135;13266.626283768135;-5.88027999999981
2025-03-23T14:53:38.312577+00:00;13267.91172972013;13267.91172972013;-67.81025000000022
2025-03-23T15:03:44.082979+00:00;13278.97006972013;13278.97006972013;-56.39726999999782
2025-03-23T15:13:38.165381+00:00;13260.77454972013;13260.77454972013;-74.39599000000112
2025-03-23T15:23:43.661620+00:00;13231.41681972013;13231.41681972013;-103.34043999999881
2025-03-23T15:33:39.043941+00:00;13232.870499720131;13232.870499720131;-103.37703999999853
2025-03-23T15:43:37.760780+00:00;13258.22424972013;13258.22424972013;-78.1438500000009
2025-03-23T15:53:42.898824+00:00;13261.01432972013;13261.01432972013;-74.34871000000267
2025-03-23T16:03:37.676933+00:00;13297.825464554793;13297.825464554793;-172.5443100000007
2025-03-23T16:13:43.418380+00:00;13309.534704554793;13309.534704554793;-161.79777000000126
2025-03-23T16:23:39.062585+00:00;13288.579704554793;13288.579704554793;-182.56472999999917
2025-03-23T16:33:35.019655+00:00;13295.859474554794;13295.859474554794;-176.01199999999875
2025-03-23T16:43:40.717342+00:00;13313.523394554793;13313.523394554793;-157.817880000002
2025-03-23T16:53:36.297996+00:00;13315.133774554793;13315.133774554793;-156.2720000000015
2025-03-23T17:03:41.999992+00:00;13307.812934554793;13307.812934554793;-164.04414999999887
2025-03-23T17:13:38.105105+00:00;13300.393494554794;13300.393494554794;-170.9493800000013
2025-03-23T17:23:35.732706+00:00;13273.954404554794;13273.954404554794;-197.63985999999832
2025-03-23T17:33:41.084281+00:00;13313.051994554793;13313.051994554793;-157.54607000000368
2025-03-23T17:43:37.965483+00:00;13310.636084554793;13310.636084554793;-158.9588400000023
2025-03-23T17:53:43.489362+00:00;13311.030854554794;13311.030854554794;-160.20332999999658
2025-03-23T18:03:38.676755+00:00;13319.766314554794;13319.766314554794;-151.8271000000007
2025-03-23T18:13:35.417984+00:00;13343.907134554793;13343.907134554793;-127.68800000000049
2025-03-23T18:23:42.379706+00:00;13354.628374554793;13354.628374554793;-116.62569999999828
2025-03-23T18:33:37.375439+00:00;13366.993984554794;13366.993984554794;-104.60159000000043
2025-03-23T18:43:42.671800+00:00;13369.093124554794;13369.093124554794;-102.70414999999873
2025-03-23T18:53:37.589725+00:00;13354.386774554794;13354.386774554794;-117.20848999999782
2025-03-23T19:03:42.520329+00:00;13365.828224554794;13365.828224554794;-105.76595000000059
2025-03-23T19:13:38.703018+00:00;13354.834064554794;13354.834064554794;-116.76120999999911
2025-03-23T19:23:43.773163+00:00;13349.824854554792;13349.824854554792;-121.77042000000054
2025-03-23T19:33:38.544664+00:00;13355.523344554795;13355.523344554795;-116.07193000000007
2025-03-23T19:43:42.638091+00:00;13352.818334554793;13352.818334554793;-120.21225000000075
2025-03-23T19:53:37.787591+00:00;13345.423344554792;13345.423344554792;-126.17592999999931
2025-03-23T20:03:43.848579+00:00;13328.793050311242;13328.793050311242;-142.94981000000024
2025-03-23T20:13:40.452547+00:00;13325.484530311242;13325.484530311242;-146.261319999998
2025-03-23T20:23:36.499553+00:00;13307.943460311242;13307.943460311242;-164.8812899999991
2025-03-23T20:33:42.011236+00:00;13257.07521031124;13257.07521031124;-214.48134000000246
2025-03-23T20:43:44.801454+00:00;13285.767170311241;13285.767170311241;-186.06558000000135
2025-03-23T20:53:39.764260+00:00;13301.453480311242;13301.453480311242;-169.72789000000012
2025-03-23T21:03:35.555941+00:00;13313.90709031124;13313.90709031124;-157.83836000000002
2025-03-23T21:13:39.336524+00:00;13330.26216031124;13330.26216031124;-141.48570000000126
2025-03-23T21:23:43.076808+00:00;13302.865890311241;13302.865890311241;-169.735960000001
2025-03-23T21:33:37.724353+00:00;13302.127780311243;13302.127780311243;-169.64746999999835
2025-03-23T21:43:41.045282+00:00;13295.547350311243;13295.547350311243;-176.19968999999872
2025-03-23T21:53:37.407250+00:00;13288.740642291035;13288.773796291036;-118.55954999999848
2025-03-23T22:03:44.577539+00:00;13266.392753570968;13266.392753570968;-193.90323999999993
2025-03-23T22:13:42.659326+00:00;13281.849133570968;13281.849133570968;-179.1432700000033
2025-03-23T22:23:39.646268+00:00;13287.492043570968;13287.492043570968;-173.2458599999997
2025-03-23T22:33:37.206573+00:00;13264.510163570967;13264.510163570967;-196.90987999999976
2025-03-23T22:43:43.870140+00:00;13255.082953570967;13255.082953570967;-205.65453000000105
2025-03-23T22:53:38.145203+00:00;13241.36770357097;13241.36770357097;-219.3739999999986
2025-03-23T23:03:35.273857+00:00;13216.82380357097;13216.82380357097;-243.83197000000382
2025-03-23T23:13:38.665454+00:00;13217.843173570967;13217.843173570967;-242.58751999999873
2025-03-23T23:23:41.281300+00:00;13223.61765357097;13223.61765357097;-236.68098000000273
2025-03-23T23:33:36.674987+00:00;13188.167313570968;13188.167313570968;-272.5720900000002
2025-03-23T23:43:42.603775+00:00;13189.031803570968;13189.031803570968;-271.70840000000135
2025-03-23T23:53:38.830105+00:00;13203.048463570969;13203.048463570969;-257.691239999998
2025-03-24T00:03:35.238886+00:00;13199.722220874115;13199.722220874115;-263.12888999999984
2025-03-24T00:13:41.514517+00:00;13188.656890874114;13188.656890874114;-274.1104199999999
2025-03-24T00:23:38.659609+00:00;13193.386740874115;13193.386740874115;-269.37946000000323
2025-03-24T00:33:35.211169+00:00;13159.090790874114;13159.090790874114;-303.70587000000074
2025-03-24T00:43:35.489572+00:00;13174.404850074116;13174.426340274116;-309.80141999999904
2025-03-24T00:53:42.184088+00:00;13177.990997674116;13177.990997674116;-235.91456999999897
2025-03-24T01:03:37.679188+00:00;13193.514937674116;13193.514937674116;-221.02146000000155
2025-03-24T01:13:35.440248+00:00;13213.995897674115;13213.995897674115;-201.07889999999924
2025-03-24T01:23:41.011791+00:00;13185.580397674115;13185.580397674115;-228.90311999999838
2025-03-24T01:33:37.013588+00:00;13205.448097674116;13205.448097674116;-209.03357999999957
2025-03-24T01:43:35.764783+00:00;13212.727947674115;13212.727947674115;-202.1377199999996
2025-03-24T01:53:41.697868+00:00;13210.393347674115;13210.393347674115;-203.52101999999982
2025-03-24T02:03:38.009881+00:00;13222.146997674115;13222.146997674115;-193.93877000000066
2025-03-24T02:13:43.074952+00:00;13198.642907674115;13198.642907674115;-215.49474999999947
2025-03-24T02:23:40.597982+00:00;13176.027147674116;13176.027147674116;-239.5474199999993
2025-03-24T02:33:36.383929+00:00;13161.552647674114;13161.552647674114;-253.09749999999934
2025-03-24T02:43:42.364542+00:00;13134.128977674116;13134.128977674116;-280.353690000001
2025-03-24T02:53:38.026931+00:00;13127.442707674116;13127.442707674116;-287.0398599999996
2025-03-24T03:03:35.734753+00:00;13097.783087674115;13097.783087674115;-315.33927000000125
2025-03-24T03:13:35.140543+00:00;13071.589977674113;13071.589977674113;-343.0888799999995
2025-03-24T03:23:41.795460+00:00;13054.950877674115;13054.950877674115;-359.91909999999996
2025-03-24T03:33:37.938823+00:00;13070.535277674115;13070.535277674115;-344.5802000000029
2025-03-24T03:43:37.106670+00:00;13067.780587674115;13067.780587674115;-345.92228000000426
2025-03-24T03:53:43.798847+00:00;13085.583367674115;13085.583367674115;-329.06740000000053
2025-03-24T04:03:40.196105+00:00;13098.847213414605;13098.847213414605;-161.98582000000007
2025-03-24T04:13:39.774918+00:00;13084.054856414603;13084.098279214602;-471.12091000000044
2025-03-24T04:23:35.433921+00:00;13113.488785414604;13113.488785414604;-233.20485999999767
2025-03-24T04:33:43.593872+00:00;13095.089645414604;13095.089645414604;-249.41398000000055
2025-03-24T04:43:39.487097+00:00;13124.163945414604;13124.163945414604;-220.46911000000142
2025-03-24T04:53:35.167062+00:00;13086.510029749154;13086.510551949154;-176.67979000000227
2025-03-24T05:03:41.952477+00:00;13086.199787825213;13086.199787825213;-221.49857000000182
2025-03-24T05:13:40.428214+00:00;13120.591167825212;13120.591167825212;-185.95692000000133
2025-03-24T05:23:37.023144+00:00;13125.687297825214;13125.687297825214;-181.38517000000056
2025-03-24T05:33:44.571176+00:00;13123.175297825213;13123.175297825213;-183.72960000000066
2025-03-24T05:43:38.775323+00:00;13132.645637825213;13132.645637825213;-174.82495999999966
2025-03-24T05:53:44.094246+00:00;13131.453297825214;13131.453297825214;-175.64798999999974
2025-03-24T06:03:41.566936+00:00;13131.723407825213;13131.723407825213;-175.37367000000071
2025-03-24T06:13:36.345847+00:00;13097.252407825214;13097.252407825214;-209.79931999999812
